q_A^-1,intensity,sigma,intensity_fit
1.552853781376427409e-03,3.195602848111353815e+05,8.984523315134918448e+03,3.190103567104233662e+05
1.580403273484533603e-03,3.016271954652816057e+05,8.584808290394816140e+03,3.000483140152953565e+05
1.608441526688189974e-03,2.845609705893583596e+05,8.198807149585019943e+03,2.819945343583537615e+05
1.636977212196565187e-03,2.683386043177172542e+05,7.826282163212769774e+03,2.648815489536216483e+05
1.666019155056495992e-03,2.529357291599065065e+05,7.467015570832893900e+03,2.487310477810861194e+05
1.695576336881754334e-03,2.383268096972182393e+05,7.120804751684670919e+03,2.335523007522970438e+05
1.725657898630738197e-03,2.244853335587903857e+05,6.787457276118298068e+03,2.193413748101043748e+05
1.756273143433425979e-03,2.113839984535127878e+05,6.466785933126739110e+03,2.060811156102280947e+05
1.787431539468507758e-03,1.989948941049873829e+05,6.158603829690982820e+03,1.937418005226125824e+05
1.819142722891536066e-03,1.872896780161336064e+05,5.862719663906127607e+03,1.822823341935069184e+05
1.851416500815041824e-03,1.762397440768107772e+05,5.578933272659291106e+03,1.716518498131358647e+05
1.884262854341524004e-03,1.658163831223621964e+05,5.307031557995267576e+03,1.617915937022303697e+05
1.917691941650225256e-03,1.559909346495121717e+05,5.046784893528083558e+03,1.526369990958399430e+05
1.951714101138703325e-03,1.467349290007576346e+05,4.797944110526560507e+03,1.441198866228755796e+05
1.986339854620105747e-03,1.380202194353193045e+05,4.560238155411300795e+03,1.361707537642582611e+05
2.021579910577188648e-03,1.298191036137714982e+05,4.333372501208503309e+03,1.287211249319101335e+05
2.057445167474067794e-03,1.221044341344088316e+05,4.117028379802998643e+03,1.217059218816040229e+05
2.093946717126699344e-03,1.148497178699076176e+05,3.910862883313692691e+03,1.150657794121755869e+05
2.131095848133192101e-03,1.080292039603516459e+05,3.714509957541401491e+03,1.087491788692443806e+05
2.168904049364943701e-03,1.016179604271352291e+05,3.527582279684010700e+03,1.027142159175078850e+05
2.207383013519737241e-03,9.559193947266787291e+04,3.349673983263342507e+03,9.692978186926344642e+04
2.246544640737869070e-03,8.992803163314610720e+04,3.180364153519914908e+03,9.137594478070465266e+04
2.286401042282424495e-03,8.460410903961956501e+04,3.019220986879686279e+03,8.604338451510542654e+04
2.326964544284845001e-03,7.959905813332647085e+04,2.865806472339039374e+03,8.093186216650904680e+04
2.368247691556956639e-03,7.489280226053297520e+04,2.719681428367642638e+03,7.604786163126725296e+04
2.410263251470628337e-03,7.046631464034318924e+04,2.580410710255516733e+03,7.140168665008213429e+04
2.453024217906239323e-03,6.630162226891517639e+04,2.447568394013354009e+03,6.700438881266341195e+04
2.496543815271229805e-03,6.238180137307941914e+04,2.320742745498780550e+03,6.286491777753634960e+04
2.540835502589913666e-03,5.869096507613360882e+04,2.199540796146542107e+03,5.898782652754883748e+04
2.585912977665867640e-03,5.521424397234618664e+04,2.083592369710653202e+03,5.537175477065278392e+04
2.631790181318170718e-03,5.193776033779978752e+04,1.972553435892001517e+03,5.200878597181249643e+04
2.678481301692784387e-03,4.884859672392904758e+04,1.866108700698644043e+03,4.888466065689100651e+04
2.726000778650423343e-03,4.593475968295335770e+04,1.763973385019700800e+03,4.597975107149883843e+04
2.774363308232286659e-03,4.318513938426971436e+04,1.665894176634686801e+03,4.327065847364500951e+04
2.823583847205000767e-03,4.058946586637198925e+04,1.571649379511096640e+03,4.073226120317078312e+04
2.873677617686211036e-03,3.813826265731453896e+04,1.481048312188016780e+03,3.833999282512541686e+04
2.924660111852222730e-03,3.582279846869409084e+04,1.393930030863290995e+03,3.607206245110385498e+04
2.976547096729158064e-03,3.363503764478862286e+04,1.310161472083314720e+03,3.391127615351948771e+04
3.029354619069133791e-03,3.156759000261873007e+04,1.229635117360744289e+03,3.184612743159012098e+04
3.083099010312928198e-03,2.961366067126393318e+04,1.152266290141896661e+03,2.987092671311985396e+04
3.137796891640710472e-03,2.776700047297030687e+04,1.077990190624130037e+03,2.798492884126760327e+04
