q_A^-1,intensity,sigma,intensity_fit
5.800141565851962052e-04,2.188726781925037503e+06,7.038774854289564246e+04,2.192767016570381820e+06
5.903043047118737259e-04,2.167870947969979607e+06,6.848139282381148951e+04,2.181091678937064484e+06
6.007770124317377523e-04,2.145395687512132805e+06,6.659386568951829395e+04,2.167164787193047814e+06
6.114355185713500488e-04,2.121344422997380141e+06,6.472682774736259307e+04,2.150907005130745471e+06
6.222831194179451013e-04,2.095764488929436542e+06,6.288187658915119391e+04,2.132255773525102995e+06
6.333231697388565229e-04,2.068706990536339115e+06,6.106054197357860539e+04,2.111167746296577156e+06
6.445590838190193858e-04,2.040226645639896160e+06,5.926428127590401709e+04,2.087620987794320332e+06
6.559943365168885952e-04,2.010381610291905701e+06,5.749447522629215382e+04,2.061616827727428172e+06
6.676324643390821930e-04,1.979233288844583789e+06,5.575242395687830140e+04,2.033181273934687488e+06
6.794770665340949109e-04,1.946846129223526688e+06,5.403934337629373476e+04,2.002365893388974015e+06
6.915318062054173157e-04,1.913287404270361643e+06,5.235636188982053864e+04,1.969248088678336237e+06
7.038004114443945905e-04,1.878626980116658378e+06,5.070451748165080062e+04,1.933930720177358482e+06
7.162866764831956386e-04,1.842937072641098406e+06,4.908475517505341122e+04,1.896541052065671422e+06
7.289944628682249296e-04,1.806291993146966211e+06,4.749792488532218704e+04,1.857229031525234692e+06
7.419277006543606749e-04,1.768767884476033971e+06,4.594477967926040583e+04,1.816164942664724309e+06
7.550903896203792903e-04,1.730442448847205611e+06,4.442597445489135134e+04,1.773536507552023511e+06
7.684866005059365086e-04,1.691394668773158919e+06,4.294206505327092600e+04,1.729545533779002726e+06
7.821204762705039103e-04,1.651704522464957554e+06,4.149350781464024476e+04,1.684404229122449644e+06
7.959962333746297206e-04,1.611452695182732772e+06,4.008065959017061687e+04,1.638331317518351600e+06
8.101181630839421549e-04,1.570720288029080490e+06,3.870377821912830404e+04,1.591548095854481449e+06
8.244906327962760878e-04,1.529588525711097289e+06,3.736302348144459393e+04,1.544274567915366730e+06
8.391180873923520609e-04,1.488138464815745596e+06,3.605845853366691881e+04,1.496725780854366720e+06
8.540050506104184371e-04,1.446450704151385464e+06,3.479005183503839362e+04,1.449108472139925463e+06
8.691561264452727070e-04,1.404605098706258461e+06,3.355767956860615959e+04,1.401618112809511367e+06
8.845760005721163381e-04,1.362680478761023376e+06,3.236112855972566103e+04,1.354436408086179057e+06
9.002694417956557055e-04,1.320754375668264925e+06,3.120009969092789470e+04,1.307729291001026286e+06
9.162413035249268025e-04,1.278902755776515231e+06,3.007421180878657469e+04,1.261645420462304726e+06
9.324965252742715592e-04,1.237199763929923531e+06,2.898300611357484013e+04,1.216315173724680441e+06
9.490401341909520316e-04,1.195717477918206714e+06,2.792595101673931276e+04,1.171850105520372977e+06
9.658772466098665020e-04,1.154525675183616579e+06,2.690244744616053504e+04,1.128342832849023864e+06
9.830130696358385742e-04,1.113691613015085459e+06,2.591183457097892096e+04,1.085867295791748213e+06
1.000452902753992636e-03,1.073279823372628540e+06,2.495339591148438194e+04,1.044479340563160484e+06
1.018202139468684601e-03,1.033351923389592208e+06,2.402636579103170152e+04,1.004217570911850082e+06
1.036266268971518766e-03,9.939664424969190732e+05,2.312993607933556632e+04,9.651044173006471246e+05
1.054650877838957633e-03,9.551786670021004975e+05,2.226326316867187052e+04,9.271473793040097225e+05
1.073361651760039708e-03,9.170405028381999582e+05,2.142547511633898830e+04,8.903404045518322382e+05
1.092404377294763302e-03,8.796003570750840008e+05,2.061567888109882915e+04,8.546653765025176108e+05
1.111784943663651120e-03,8.429030386566966772e+05,1.983296757449923825e+04,8.200936925034956075e+05
1.131509344569075690e-03,8.069896786974007264e+05,1.907642764441017425e+04,7.865879221308521228e+05
1.151583680048893577e-03,7.718976705358270556e+05,1.834514590471198971e+04,7.541035427887537517e+05
1.172014158362963670e-03,7.376606296097952873e+05,1.763821632482498535e+04,7.225907540399142308e+05
1.192807097913132618e-03,7.043083730799369514e+05,1.695474649342510747e+04,6.919963731399180833e+05
1.213968929197288072e-03,6.718669189951978624e+05,1.629386367397091817e+04,6.622658107926824596e+05
