# Q(1/A)  I_MAP  dI_MAP
2.979932829961547472e-02 6.879814624786376953e+00 1.219569786386653504e-01
3.032800419277615483e-02 6.494388580322265625e+00 1.182084433701094534e-01
3.086605943157845824e-02 6.131762504577636719e+00 1.147201184030344767e-01
3.141366041688492539e-02 5.790510654449462891e+00 1.116019111497004168e-01
3.197097650170950545e-02 5.469212532043457031e+00 1.087453977115238613e-01
3.253818004359197713e-02 5.166525363922119141e+00 1.060458746913924000e-01
3.311544645790212571e-02 4.881142139434814453e+00 1.037181097449355743e-01
3.370295427208910150e-02 4.611884117126464844e+00 1.015812783120769031e-01
3.430088518089351862e-02 4.357552528381347656e+00 9.953275239250708450e-02
3.490942410253914524e-02 4.117097377777099609e+00 9.783187333100151761e-02
3.552875923592109519e-02 3.889510631561279297e+00 9.620008090644337206e-02
3.615908211880919376e-02 3.673915863037109375e+00 9.476179273990784080e-02
3.680058768708330957e-02 3.469465732574462891e+00 9.344432588988817179e-02
3.745347433502023426e-02 3.275422096252441406e+00 9.214942275066756450e-02
3.811794397664951262e-02 3.091140747070312500e+00 9.104579703755207032e-02
3.879420210819820025e-02 2.916053771972656250e+00 8.994983546616761028e-02
3.948245787164349901e-02 2.749667167663574219e+00 8.890473966203939205e-02
4.018292411939242137e-02 2.591573715209960938e+00 8.802073702534178590e-02
4.089581748010965440e-02 2.441391944885253906e+00 8.717153751727108046e-02
4.162135842571251798e-02 2.298820495605468750e+00 8.640232953357290802e-02
4.235977133955526330e-02 2.163607597351074219e+00 8.593750000000000000e-02
4.311128458582235562e-02 2.035533905029296875e+00 8.542549893995718402e-02
4.387613058015331358e-02 1.914405822753906250e+00 8.515714592418609230e-02
4.465454586152050459e-02 1.800032615661621094e+00 8.515714592418609230e-02
4.544677116538175382e-02 1.692274093627929688e+00 8.526906231618387733e-02
4.625305149813135897e-02 1.590922355651855469e+00 8.549245557905972570e-02
4.707363621287134064e-02 1.495806694030761719e+00 8.578199709374120796e-02
4.790877908652738798e-02 1.406718254089355469e+00 8.618129481605550646e-02
4.875873839833294587e-02 1.323495864868164062e+00 8.657875101289648490e-02
4.962377700970524441e-02 1.245850563049316406e+00 8.701823988259946296e-02
5.050416244553912470e-02 1.173570632934570312e+00 8.725901524878389159e-02
5.140016697694234360e-02 1.106368064880371094e+00 8.747732686155738902e-02
5.231206770543948142e-02 1.043949127197265625e+00 8.754271418365222601e-02
5.324014664866900948e-02 9.860076904296875000e-01 8.749912806485202199e-02
5.418469082760118960e-02 9.322299957275390625e-01 8.725901524878389159e-02
5.514599235530336097e-02 8.822784423828125000e-01 8.677679645126196162e-02
5.612434852727950924e-02 8.358230590820312500e-01 8.629188294677547777e-02
5.712006191341329614e-02 7.925291061401367188e-01 8.582645524499933620e-02
5.813344045154151402e-02 7.520828247070312500e-01 8.502265179562076836e-02
5.916479754268844093e-02 7.141704559326171875e-01 8.430172599573139414e-02
6.021445214798896300e-02 6.784877777099609375e-01 8.364301994282756503e-02
6.128272888733177215e-02 6.448116302490234375e-01 8.295609602185664844e-02
6.236995813975267089e-02 6.128730773925781250e-01 8.230979494416201803e-02
6.347647614560830709e-02 5.824985504150390625e-01 8.170508071621832014e-02
6.460262511056358292e-02 5.534610748291015625e-01 8.111937366130932137e-02
6.574875331142288060e-02 5.256652832031250000e-01 8.060043078891933332e-02
6.691521520383963972e-02 4.989490509033203125e-01 8.026844760950983815e-02
6.810237153193672566e-02 4.732933044433593750e-01 7.995894332210437550e-02
6.931058943987097876e-02 4.486045837402343750e-01 7.969611626212173838e-02
7.054024258537801295e-02 4.248504638671875000e-01 7.950442358221726513e-02
7.179171125533045927e-02 4.020385742187500000e-01 7.928821535228296191e-02
7.306538248334727703e-02 3.801612854003906250e-01 7.916784452934079452e-02
7.436165016948875772e-02 3.592357635498046875e-01 7.902315751618714523e-02
7.568091520207553824e-02 3.393173217773437500e-01 7.890238233095372977e-02
7.702358558166907954e-02 3.204174041748046875e-01 7.887820510276824515e-02
7.839007654725076157e-02 3.025703430175781250e-01 7.875720763146856762e-02
7.978081070464078384e-02 2.857818603515625000e-01 7.863602398123982484e-02
8.119621815719411939e-02 2.701034545898437500e-01 7.856322406687017701e-02
8.263673663881643261e-02 2.555198669433593750e-01 7.858749819816683579e-02
8.410281164933861020e-02 2.420215606689453125e-01 7.834441843801398520e-02
8.559489659229392589e-02 2.295875549316406250e-01 7.822259529101870112e-02
8.711345291513943045e-02 2.181892395019531250e-01 7.822259529101870112e-02
8.865895025196418588e-02 2.077636718750000000e-01 7.810058212161018198e-02
9.023186656873073697e-02 1.982669830322265625e-01 7.795391423232463091e-02
9.183268831109187014e-02 1.896076202392578125e-01 7.810058212161018198e-02
9.346191055483081545e-02 1.817340850830078125e-01 7.802728263843038137e-02
9.512003715897038303e-02 1.745319366455078125e-01 7.802728263843038137e-02
9.680758092159756634e-02 1.679000854492187500e-01 7.802728263843038137e-02
9.852506373845401622e-02 1.617565155029296875e-01 7.802728263843038137e-02
1.002730167643385711e-01 1.560325622558593750e-01 7.802728263843038137e-02
1.020519805773749122e-01 1.506309509277343750e-01 7.800283417076507575e-02
1.038625053461919162e-01 1.454772949218750000e-01 7.812500000000000000e-02
1.057051510000710515e-01 1.404972076416015625e-01 7.810058212161018198e-02
1.075804874021124291e-01 1.356658935546875000e-01 7.814941024899435540e-02
1.094890945254718834e-01 1.309185028076171875e-01 7.807615660666673840e-02
1.114315626327264525e-01 1.262416839599609375e-01 7.802728263843038137e-02
1.134084924584201071e-01 1.216087341308593750e-01 7.800283417076507575e-02
1.154204953948500256e-01 1.170330047607421875e-01 7.790496357491848156e-02
1.174681936811470123e-01 1.125335693359375000e-01 7.797837803780129085e-02
1.195522205957118556e-01 1.081142425537109375e-01 7.790496357491848156e-02
1.216732206520654697e-01 1.038055419921875000e-01 7.795391423232463091e-02
1.238318497981726884e-01 9.964179992675781250e-02 7.805172344800033468e-02
1.260287756193039232e-01 9.566879272460937500e-02 7.812500000000000000e-02
1.282646775444941656e-01 9.190940856933593750e-02 7.822259529101870112e-02
1.305402470566659201e-01 8.841896057128906250e-02 7.829571192510720312e-02
1.328561879064800999e-01 8.521080017089843750e-02 7.836876034272999281e-02
1.352132163299794299e-01 8.232116699218750000e-02 7.836876034272999281e-02
1.376120612700953150e-01 7.976150512695312500e-02 7.846605244765884890e-02
1.400534646020821228e-01 7.753562927246093750e-02 7.846605244765884890e-02
1.425381813629533201e-01 7.565879821777343750e-02 7.839309468902139200e-02
1.450669799849858554e-01 7.409477233886718750e-02 7.846605244765884890e-02
1.476406425333686989e-01 7.286071777343750000e-02 7.839309468902139200e-02
1.502599649480674537e-01 7.187271118164062500e-02 7.839309468902139200e-02
1.529257572899786477e-01 7.113456726074218750e-02 7.844174073446563700e-02
1.556388439914530852e-01 7.059288024902343750e-02 7.846605244765884890e-02
1.584000641112615904e-01 7.019996643066406250e-02 7.861176483397698533e-02
1.612102715940864905e-01 6.989860534667968750e-02 7.878142199257306966e-02
1.640703355346144476e-01 6.963539123535156250e-02 7.895071457581147312e-02
1.669811404463162618e-01 6.936645507812500000e-02 7.907141593748891195e-02
1.699435865349950281e-01 6.905555725097656250e-02 7.926415581133994248e-02
1.729585899771859392e-01 6.863975524902343750e-02 7.938438059727177809e-02
1.760270832034975530e-01 6.810379028320312500e-02 7.940840371193798319e-02
1.791500151869771795e-01 6.744194030761718750e-02 7.943241956118263225e-02
1.823283517365950623e-01 6.661224365234375000e-02 7.940840371193798319e-02
1.855630757959326194e-01 6.562423706054687500e-02 7.938438059727177809e-02
1.888551877471716101e-01 6.448936462402343750e-02 7.936035021058611416e-02
1.922057057204763220e-01 6.320571899414062500e-02 7.931226759471465826e-02
1.956156659088629512e-01 6.182670593261718750e-02 7.938438059727177809e-02
1.990861228886577072e-01 6.035041809082031250e-02 7.955239005631367655e-02
2.026181499456374546e-01 5.884552001953125000e-02 7.962428558843558102e-02
2.062128394069585313e-01 5.732917785644531250e-02 7.988734896959984177e-02
2.098713029789742723e-01 5.585861206054687500e-02 8.010194005628858138e-02
2.135946720910437135e-01 5.447196960449218750e-02 8.031595779278159764e-02
2.173840982454432746e-01 5.320358276367187500e-02 8.057676306537604749e-02
2.212407533734825904e-01 5.209350585937500000e-02 8.071866531160869218e-02
2.251658301979418686e-01 5.116367340087890625e-02 8.081312838116094799e-02
