# Q(1/A)  I_MAP  dI_MAP
1.401441690605879052e-02 8.286195564270019531e+01 1.228434889040248779e+00
1.426096105281544034e-02 7.802136993408203125e+01 1.147930837960299044e+00
1.451184244861408040e-02 7.346530342102050781e+01 1.073147548289791642e+00
1.476713739512118193e-02 6.917568588256835938e+01 1.003666830643313412e+00
1.502692353631585216e-02 6.513596343994140625e+01 9.391038526928627839e-01
1.529127988210407692e-02 6.133083915710449219e+01 8.790863530746620969e-01
1.556028683234832871e-02 5.774620628356933594e+01 8.232856277462370365e-01
1.583402620131997215e-02 5.436907196044921875e+01 7.713879488790197358e-01
1.611258124258174371e-02 5.118731307983398438e+01 7.230916129460295272e-01
1.639603667430805309e-02 4.818973731994628906e+01 6.781310753616101028e-01
1.668447870505072525e-02 4.536595726013183594e+01 6.362632573213602427e-01
1.697799505995792671e-02 4.270614433288574219e+01 5.971773510224737125e-01
1.727667500745444160e-02 4.020114898681640625e+01 5.607101787385490033e-01
1.758060938639126325e-02 3.784234237670898438e+01 5.266162516611805344e-01
1.788989063367283500e-02 3.562165451049804688e+01 4.947077094340025516e-01
1.820461281237024595e-02 3.353133201599121094e+01 4.647821978680746757e-01
1.852487164032907974e-02 3.156415748596191406e+01 4.367538629108826953e-01
1.885076451928053079e-02 2.971311569213867188e+01 4.103979942347123488e-01
1.918239056446456592e-02 2.797169494628906250e+01 3.857261171494248964e-01
1.951985063477431476e-02 2.633358383178710938e+01 3.625875433085091748e-01
1.986324736343071315e-02 2.479283905029296875e+01 3.409364169179634474e-01
2.021268518919684676e-02 2.334381484985351562e+01 3.206814757461346477e-01
2.056827038814129302e-02 2.198104095458984375e+01 3.018131143702330599e-01
2.093011110596037366e-02 2.069945144653320312e+01 2.842451197222873871e-01
2.129831739086902528e-02 1.949416351318359375e+01 2.679485346784492572e-01
2.167300122707015858e-02 1.836055374145507812e+01 2.528071161741323736e-01
2.205427656881297355e-02 1.729428482055664062e+01 2.388489012062267602e-01
2.244225937505033366e-02 1.629117965698242188e+01 2.258964482285315267e-01
