# Q(1/A)  I_MAP  dI_MAP
4.753372580659586018e-03 5.230922927856445312e+03 1.445513963339627708e+02
4.836994767367084648e-03 4.863166065305471420e+03 1.326257666476685699e+02
4.922088050646772177e-03 4.522375816285610199e+03 1.219188708568710666e+02
5.008678310294547784e-03 4.206774965405464172e+03 1.122898578693925060e+02
5.096791881388344075e-03 3.914653183311223984e+03 1.036062504241569684e+02
5.186455562297526654e-03 3.644369900345802307e+03 9.574631485184555402e+01
5.277696622833203538e-03 3.394356907367706299e+03 8.860079647076490517e+01
5.370542812541912077e-03 3.163120608568191528e+03 8.207393371930511705e+01
5.465022369145204791e-03 2.949243786215782166e+03 7.608371751513493564e+01
5.561164027127736206e-03 2.751386922061443329e+03 7.056148456015165493e+01
5.658997026476373857e-03 2.568288908779621124e+03 6.545094926231688248e+01
5.758551121573106391e-03 2.398767267465591431e+03 6.070684320754408958e+01
5.859856590244365629e-03 2.241717698395252228e+03 5.629331834893785214e+01
5.962944242969578021e-03 2.096113180935382843e+03 5.218225762082830954e+01
6.067845432251655138e-03 1.961002417802810669e+03 4.835161003422338410e+01
6.174592062152393923e-03 1.835507868587970734e+03 4.478384215152584602e+01
6.283216597995595204e-03 1.718823228657245636e+03 4.146455915212329302e+01
6.393752076240882473e-03 1.610210566401481628e+03 3.838134424905862829e+01
6.506232114531228065e-03 1.508997045159339905e+03 3.552281627023739929e+01
6.620690921917238118e-03 1.414571380496025085e+03 3.287792683035767993e+01
6.737163309261294530e-03 1.326380049943923950e+03 3.043547524487415856e+01
6.855684699824746674e-03 1.243923325061798096e+03 2.818383562244618190e+01
6.976291140041326541e-03 1.166751221656799316e+03 2.611086266672243639e+01
7.099019310480147484e-03 1.094459355354309082e+03 2.420395079275843031e+01
7.223906537001475829e-03 1.026684905052185059e+03 2.245021695582306265e+01
7.350990802108848046e-03 9.631025081872940063e+02 2.083674890621060172e+01
7.480310756500834629e-03 9.034204326868057251e+02 1.935089797664287659e+01
7.611905730826079748e-03 8.473767436742782593e+02 1.798056156881185785e+01
7.745815747645062692e-03 7.947358257770538330e+02 1.671444401415711312e+01
7.882081533602362799e-03 7.452850059270858765e+02 1.554224054471884564e+01
8.020744531813027434e-03 6.988315222263336182e+02 1.445476474017642587e+01
8.161846914466849845e-03 6.551996893882751465e+02 1.344399427460693630e+01
8.305431595654383728e-03 6.142284064292907715e+02 1.250304207978119564e+01
8.451542244418590658e-03 5.757689237594604492e+02 1.162608004239174342e+01
8.600223298036108535e-03 5.396828651428222656e+02 1.080820904740928867e+01
8.751519975532143919e-03 5.058406124114990234e+02 1.004531302405359128e+01
8.905478291433137697e-03 4.741198043823242188e+02 9.333891602123175701e+00
9.062145069761391725e-03 4.444042916297912598e+02 8.670911800744995901e+00
9.221567958275818030e-03 4.165831065177917480e+02 8.053657354863737794e+00
9.383795442963294847e-03 3.905498445034027100e+02 7.479619117872078782e+00
9.548876862784907299e-03 3.662020688056945801e+02 6.946396905026245960e+00
9.716862424681659352e-03 3.434409947395324707e+02 6.451642842992407978e+00
9.887803218844075370e-03 3.221712441444396973e+02 5.993022358216594014e+00
1.006175123425052942e-02 3.023007676601409912e+02 5.568214481519819792e+00
1.023875937447886117e-02 2.837407910823822021e+02 5.174904849149779551e+00
1.041888147379618768e-02 2.664058914184570312e+02 4.810833530968964489e+00
1.060217231353174742e-02 2.502141122817993164e+02 4.473801112345324960e+00
1.078868763873778829e-02 2.350870311260223389e+02 4.161710207131742223e+00
1.097848417514357341e-02 2.209499912261962891e+02 3.872594271177934200e+00
1.117161964640759654e-02 2.077321248054504395e+02 3.604622225920708356e+00
1.136815279167335130e-02 1.953665709495544434e+02 3.356131473771294615e+00
1.156814338343394206e-02 1.837905135154724121e+02 3.125607851038988194e+00
1.177165224571092260e-02 1.729452314376831055e+02 2.911684267470890930e+00
1.197874127255299515e-02 1.627761139869689941e+02 2.713128954839032048e+00
1.218947344686011069e-02 1.532326829433441162e+02 2.528809677981158632e+00
1.240391285953875919e-02 1.442684390544891357e+02 2.357697755967904651e+00
1.262212472899418465e-02 1.358408207893371582e+02 2.198848388274903254e+00
1.284417542096556730e-02 1.279110469818115234e+02 2.051361525047526335e+00
1.307013246871014008e-02 1.204439072608947754e+02 1.914387328942302569e+00
1.330006459354234928e-02 1.134075582027435303e+02 1.787130720500938352e+00
